Country,Code,Year,"School life expectancy, primary to tertiary, both sexes (years)"
Cambodia,KHM,2008,10.5159502
Cameroon,CMR,1971,6.190410137
Cameroon,CMR,1972,6.133560181
Cameroon,CMR,1973,6.181109905
Cameroon,CMR,1974,6.543340206
Cameroon,CMR,1975,6.55576992
Cameroon,CMR,1979,6.968100071
Cameroon,CMR,1980,7.041830063
Cameroon,CMR,1981,7.031899929
Cameroon,CMR,1982,7.075300217
Cameroon,CMR,1983,7.316599846
Cameroon,CMR,1984,7.300199986
Cameroon,CMR,1985,7.477680206
Cameroon,CMR,1987,7.815149784
Cameroon,CMR,1988,8.19231987
Cameroon,CMR,1989,7.759950161
Cameroon,CMR,1990,8.022339821
Cameroon,CMR,1991,7.983180046
Cameroon,CMR,1999,6.920259953
Cameroon,CMR,2000,7.1354599
Cameroon,CMR,2001,8.369600296
Cameroon,CMR,2002,8.088850021
Cameroon,CMR,2003,8.229299545
Cameroon,CMR,2004,8.254300117
Cameroon,CMR,2005,8.215979576
Cameroon,CMR,2006,7.998980045
Cameroon,CMR,2007,8.759539604
Cameroon,CMR,2008,9.200530052
Cameroon,CMR,2009,9.669369698
Cameroon,CMR,2011,10.41499996
Canada,CAN,1976,13.70553017
Canada,CAN,1986,15.60389996
Canada,CAN,1989,16.28940964
Canada,CAN,1990,16.6703701
Canada,CAN,1991,17.02256012
Canada,CAN,1992,17.15896988
Canada,CAN,1993,16.75003052
Canada,CAN,1994,16.8692894
Canada,CAN,1995,16.85334969
Canada,CAN,1996,16.86971092
Canada,CAN,1998,16.03650093
Canada,CAN,1999,15.89416027
Canada,CAN,2000,15.81437016
Cape Verde,CPV,2000,11.27921963
Cape Verde,CPV,2001,10.98707008
Cape Verde,CPV,2002,11.34401035
Cape Verde,CPV,2003,11.25862026
Cape Verde,CPV,2004,11.10859966
Cape Verde,CPV,2005,11.20897007
Cape Verde,CPV,2006,11.90721035
Cape Verde,CPV,2007,11.90079021
Cape Verde,CPV,2008,12.19423008
Cape Verde,CPV,2009,12.36746979
Cape Verde,CPV,2010,12.73600006
Cape Verde,CPV,2011,13.12685966
Cape Verde,CPV,2012,13.19097042
Cape Verde,CPV,2013,13.60682964
Cape Verde,CPV,2014,13.49588013
Central African Republic,CAF,1971,4.314859867
Central African Republic,CAF,1974,4.541279793
Central African Republic,CAF,1975,4.774580002
Central African Republic,CAF,1976,4.852869987
Central African Republic,CAF,1977,5.224420071
Central African Republic,CAF,1978,5.361159801
Central African Republic,CAF,1979,5.04445982
Central African Republic,CAF,1980,5.098090172
Central African Republic,CAF,1981,5.266819954
Central African Republic,CAF,1982,5.619689941
Central African Republic,CAF,1983,5.565289974
Central African Republic,CAF,1985,5.750170231
Central African Republic,CAF,1986,5.863470078
Central African Republic,CAF,1987,4.972040176
Central African Republic,CAF,1988,5.033450127
